Word	Count
the	1501908
to	1156570
a	1041179
you	2134713
and	682780
it	963712
s	1057301
of	590439
for	351650
i	2038529
in	498444
on	354742
is	459663
that	719677
what	501965
be	293085
have	314232
are	265672
this	406915
no	304549
we	459607
me	471339
t	733338
there	221754
can	267620
here	230788
with	257465
but	225291
he	389497
now	163333
so	216452
my	344899
not	276673
do	312915
your	328715
at	164072
one	156684
up	187170
was	288391
go	193445
out	197131
how	155867
like	203947
if	180610
know	291780
just	242206
get	233772
come	160190
they	209250
don	321085
see	130393
about	185206
right	204428
who	113370
good	133117
when	103739
time	99890
let	123381
did	119410
from	103992
want	140718
think	137261
take	96443
why	114687
m	343245
look	99311
an	95071
all	263255
back	102467
some	88089
re	311072
would	90162
been	88573
where	93341
then	75966
him	177710
got	168631
as	113068
or	86970
going	108288
were	84804
could	83109
say	83629
something	76508
had	85472
way	72661
make	70775
by	68364
too	69950
us	86478
his	108364
ll	224097
more	66228
over	67488
didn	80623
them	90720
down	76004
never	69490
well	152523
yes	101835
d	101335
should	54159
will	108306
she	190377
tell	87949
only	55269
our	71425
give	59559
her	144627
need	66040
has	57830
little	73766
off	60155
thing	55522
man	94133
any	56068
mean	63443
much	49636
said	56531
oh	167781
sure	56091
am	56438
two	54384
really	76508
doing	52492
even	44672
anything	46270
sorry	59566
before	40501
because	54622
people	56252
into	43074
very	63304
first	42869
again	40428
nothing	43534
these	46104
put	42251
please	56149
thought	41232
better	40494
still	40225
thank	56877
yeah	152262
than	37679
help	46977
other	37505
maybe	47249
last	36878
day	40893
those	38404
wait	42343
find	42379
work	40699
does	34002
after	34812
talk	43605
life	40629
long	34433
away	37276
keep	35846
around	37573
call	43931
doesn	32435
won	38729
hey	88079
told	35679
ever	36170
always	33418
things	35337
great	41864
home	39491
made	28626
stop	36071
believe	31882
night	44168
love	56864
everything	33399
another	25970
kind	30125
isn	29886
place	30736
feel	31989
hear	28323
wrong	26678
new	36913
big	34824
bad	27804
every	28007
through	28026
their	33413
leave	28596
lot	29066
coming	26878
enough	25568
must	35661
thanks	31789
fine	30502
might	26334
getting	24719
remember	27666
nice	33125
being	24781
try	24314
wanted	25616
name	32735
done	24737
else	22907
gonna	101804
ask	24640
left	24707
next	23090
wouldn	23628
listen	27784
years	29003
happened	24994
talking	25385
care	24748
god	46061
own	23419
three	27654
old	31056
came	23650
mind	24715
looking	22066
trying	22849
stay	26298
understand	24605
yourself	22151
someone	22752
wasn	21984
same	21276
guess	23153
went	20987
best	20623
may	26080
course	24848
which	24339
show	24906
guy	38893
today	22124
while	17821
seen	19633
heard	19775
without	18087
hold	22273
real	22583
use	17536
together	19553
whole	19660
haven	18844
saw	20527
hello	29857
once	17589
took	17454
yet	17428
ready	19778
found	20196
idea	18311
already	16246
pretty	20003
start	17345
myself	17470
used	17551
okay	102320
many	18331
knew	18817
head	18947
since	16064
couldn	17336
room	22415
matter	18900
world	23216
friend	21384
mr	60098
girl	28413
bring	16685
most	17889
boy	27021
until	15426
hope	16352
both	15062
called	17341
hard	15700
guys	32198
minute	19252
run	17878
looks	15886
morning	22389
live	17574
excuse	18773
move	21325
house	26214
wants	15655
few	15393
hi	28464
meet	17966
job	21063
later	14889
turn	15630
dead	22898
says	16356
woman	22166
alone	15735
gone	15135
watch	16831
having	14752
problem	16833
ago	14592
open	16341
hell	24012
saying	14874
somebody	17571
days	15592
probably	14323
tonight	21047
second	14513
worry	14638
thinking	14353
kill	23081
everybody	17555
lost	13974
end	13559
happen	12968
forget	14130
tomorrow	17134
money	32679
makes	12296
taking	12263
such	14852
huh	22350
face	14747
part	13337
soon	13140
sit	15879
late	13756
under	13358
whatever	12584
anyone	13018
hand	14262
mother	24476
happy	16993
gave	12428
actually	16439
friends	15578
exactly	12607
each	12916
knows	12492
aren	11946
supposed	12865
father	28279
miss	23850
stuff	15653
mine	12800
making	11349
least	10596
easy	13551
working	12775
anyway	12164
chance	12303
play	18081
family	18067
true	12921
gets	11364
comes	11656
check	14228
door	14895
change	12258
means	11136
deal	13330
gotta	25852
minutes	13924
five	14558
point	12063
far	11259
business	16371
set	11805
close	11191
times	11221
goes	11081
car	24636
word	12013
son	20949
nobody	13599
rest	10861
sir	49188
hurt	12564
everyone	12324
asked	11029
hit	14025
baby	25978
bit	11987
yours	10441
hands	12063
crazy	13886
week	12164
break	11275
men	19011
couple	11394
either	9308
year	14174
waiting	10767
beautiful	14266
wish	11991
almost	9857
cause	15812
afraid	12631
cut	11718
pay	12985
four	13045
stand	11536
case	14403
important	10587
tried	9529
anybody	11573
different	10686
hours	10959
walk	11009
telling	9730
eat	12846
reason	9858
shut	13455
inside	10775
wife	17795
trouble	11401
eyes	11299
also	10528
hate	10944
read	12302
behind	9581
started	9566
ahead	10115
pick	10118
side	10247
person	10857
damn	14460
half	10156
young	12402
brought	8786
sleep	11625
funny	11127
die	13318
between	8932
fun	12010
kid	17299
though	9279
wanna	25796
front	9259
question	10116
heart	12453
seems	8545
number	12288
line	10515
school	16989
against	10288
anymore	9597
kids	15356
phone	13756
welcome	9140
met	9758
shouldn	8083
high	9945
outside	8671
killed	14792
sometimes	9129
moment	9539
needs	8198
fact	8801
sounds	7970
drink	12617
dad	25870
six	10176
answer	8986
feeling	8577
hour	8277
full	8512
along	9330
glad	8740
speak	9546
quite	10332
buy	9814
able	8155
death	11051
free	9054
stupid	9405
running	8054
story	11260
lose	8382
send	9169
trust	9087
shot	11599
hot	9682
truth	9801
honey	15325
clear	8763
till	8503
lady	11071
water	11478
town	12644
bed	9543
living	7983
seem	7131
mom	21950
sound	7313
happens	6996
lives	7124
save	8278
taken	7071
months	8314
serious	7566
touch	7534
bet	8763
news	8399
office	10399
leaving	7211
body	9972
dinner	10336
married	12163
fire	10990
light	8425
perfect	8091
special	7577
hang	7535
luck	7840
lucky	7316
promise	7809
uh	36579
sick	8437
weren	6237
asking	6546
sense	6722
women	9978
order	7985
its	8757
fast	7010
brother	14481
game	11926
catch	6911
sent	7038
sort	7584
himself	7168
boys	11432
alive	7878
known	6300
died	8018
party	11890
drive	7810
playing	7515
doctor	13461
fight	10255
kidding	6822
figure	6598
pull	7469
throw	6570
cool	9990
calling	6311
unless	5798
looked	6166
hurry	8856
girls	10626
past	6312
hair	7831
takes	5986
except	5696
top	6805
food	7876
finally	5989
straight	6244
sweet	7405
wonder	5966
giving	5613
drop	6661
worked	5877
small	6373
plan	7432
somewhere	5688
less	5666
blood	9492
none	5641
safe	7303
sign	6797
piece	6349
cold	6638
weeks	6637
bye	9184
turned	5388
clean	6183
dear	11395
ah	10535
follow	6283
seeing	5591
mrs	15858
learn	6047
street	7557
works	5357
explain	5670
ass	11545
ain	22248
husband	9935
wow	8160
possible	5816
police	12044
wonderful	8364
white	8744
lie	6133
felt	6111
meant	5316
step	6052
air	7090
fall	6044
city	8624
moving	6104
scared	6803
words	6223
meeting	6752
expect	5299
rather	5825
worth	5569
country	8254
absolutely	5769
become	5894
early	5510
company	7507
longer	5046
children	8930
thinks	5235
ten	7395
handle	5529
shoot	8412
control	6662
careful	5550
feet	6157
worse	5002
book	9026
poor	6583
forgot	5045
eye	5701
busy	5433
beat	6716
black	8565
changed	5148
talked	5226
ones	5177
picture	7061
questions	6016
broke	5355
pass	5514
tired	5745
watching	5081
em	12849
quiet	5978
anywhere	4501
wear	5576
finish	5045
mistake	5200
ride	6904
fault	5310
ladies	7054
needed	4818
quick	5542
choice	4975
act	5565
cannot	6465
given	4851
hasn	4625
child	8040
caught	4791
shall	9441
worried	4831
dog	9835
sister	9207
red	7551
coffee	7371
spend	4757
kept	4559
mouth	5325
certainly	6067
yesterday	4935
sitting	4814
attention	5032
stick	4953
daughter	8739
date	7218
power	7600
gun	10873
mad	5784
loved	5627
middle	4549
gentlemen	7874
decided	4521
write	6467
human	6363
o	9598
wake	5366
perhaps	6939
missed	4568
others	5061
parents	7177
month	4854
across	4801
besides	4328
table	5387
appreciate	4373
ran	4296
simple	4555
suppose	6416
bitch	8609
secret	5585
personal	4675
blow	4976
short	4367
instead	4043
near	4238
fair	4832
terrible	4795
dream	6798
relax	4936
evening	6155
smart	4909
happening	4618
clothes	5158
wearing	4410
win	6867
cover	4808
seven	5327
finished	4269
enjoy	4222
road	5709
um	11197
interesting	4421
tough	4616
kiss	6179
ma	9476
surprise	4534
forever	4529
lying	4472
floor	5132
imagine	4133
join	4255
standing	3994
music	7734
bought	4362
stopped	3844
strong	4430
eight	5010
completely	4303
charge	4559
interested	4374
state	5500
count	4588
certain	4354
daddy	9439
paid	4369
dr	15194
lunch	5310
calls	4097
future	5278
dark	4519
entire	4070
missing	4484
paper	5271
team	7528
present	4562
proud	4265
report	5508
mess	3985
hospital	6334
return	4676
realize	4032
afternoon	4666
weird	5156
difference	4066
swear	4496
fix	4426
pain	4995
born	4268
likes	3889
war	8912
pleasure	4118
putting	3467
figured	3893
shit	24207
strange	4408
spent	3574
million	6145
neither	3451
during	3872
liked	4017
law	5932
lead	4246
using	3520
bag	4796
situation	4207
starting	3558
age	4039
sex	7761
blue	5222
lovely	4853
whoa	8023
walking	3826
feels	3569
calm	4541
dance	7550
cute	4475
especially	3428
deep	3896
class	5985
seat	4018
holding	3530
window	4386
hungry	3931
sell	4705
picked	3534
problems	3931
message	4667
fell	3723
history	4280
building	5078
broken	3634
quit	4595
service	4076
smell	4240
voice	4394
record	4365
moved	3536
grab	3614
definitely	3848
slow	3877
dangerous	3817
bother	3436
killing	3965
single	3676
information	4557
offer	3810
favor	3609
fool	4556
amazing	4167
gives	3290
trip	4202
named	3564
upset	3800
box	4577
owe	3782
third	3801
hide	3554
share	3545
forward	3689
earth	5074
saved	3558
boss	6339
honest	3689
speaking	3565
buddy	5247
wondering	3231
usually	3214
stuck	3399
loves	3695
th	4989
twice	3191
totally	4377
jesus	8220
whose	3187
goodbye	5942
ground	3696
respect	3644
agree	3298
driving	3780
tv	5199
prove	3590
private	3874
whether	3424
listening	3205
congratulations	3616
beginning	3219
system	4667
lived	3368
bar	4385
mention	3033
forgive	3917
position	3676
dress	4447
seriously	3270
carry	3361
plenty	3178
accident	4146
list	4110
notice	3022
doubt	3205
key	4430
involved	3465
kick	3744
protect	3583
promised	3169
area	3821
joke	3724
club	5038
upstairs	3607
teach	3715
idiot	3377
obviously	3082
store	4178
hundred	4015
gotten	2768
normal	3589
ya	7664
sake	3272
admit	3019
nose	3557
difficult	3068
fly	4335
ought	4118
card	4357
public	3625
blame	2998
bunch	3003
eating	3102
nervous	3425
wall	3605
rich	4100
push	3598
movie	6271
station	4033
surprised	2808
group	3762
test	4288
hmm	5291
awful	3234
visit	2993
american	5213
fit	2937
knock	3299
worst	2874
staying	3040
dying	3416
york	7069
ring	4730
land	4494
ball	5353
extra	3017
grow	3034
miles	4500
learned	2964
dirty	3389
impossible	3015
lots	3068
fighting	3611
foot	3311
fat	4051
marry	5322
murder	5717
security	4810
keeps	2681
low	3016
sleeping	3027
soul	3925
keeping	2608
rid	3052
spot	3140
officer	5265
hotel	5264
wrote	3629
shoes	3782
often	2925
drunk	3904
losing	2722
begin	2906
english	3777
sad	3232
seconds	3603
crap	3151
john	9877
cost	2801
brain	3928
lord	7046
reach	2903
experience	3088
ridiculous	2836
reading	3133
force	3604
within	3017
tells	2665
favorite	3032
ice	4057
jump	3561
places	2706
c	4675
double	3198
nine	3441
suddenly	2854
breakfast	3381
consider	2676
hoping	2544
neck	3035
waste	2716
attack	3853
sun	3553
folks	3878
fresh	2780
lay	2970
bigger	2765
girlfriend	3881
song	4778
arm	3336
suit	3499
helping	2588
ourselves	2676
everywhere	2641
laugh	3206
rules	3438
seemed	2767
college	4344
ways	2633
decide	2571
hanging	2735
cash	3694
field	3580
type	3093
passed	2631
roll	3227
fear	3523
green	3696
darling	6613
walked	2737
rock	4394
cry	3348
turns	2552
round	3393
holy	3475
honor	4912
arms	3050
plans	2867
smoke	3337
machine	3583
gift	3290
warm	2659
park	3678
b	4289
raise	2815
relationship	3452
feelings	2938
bill	6041
peace	3550
complete	2636
lock	2885
uncle	6327
angry	3008
closed	2758
accept	2692
hardly	2613
action	3115
silly	2912
legs	2835
glass	3096
court	5137
bathroom	3145
treat	2646
pulled	2488
sweetheart	3272
boyfriend	3684
interest	2598
showed	2425
contact	3305
taste	2617
herself	2675
willing	2512
apart	2398
star	4149
possibly	2494
wind	3028
upon	3199
kitchen	2974
dropped	2482
acting	2675
further	2690
tight	2597
decision	2808
corner	2679
beer	3850
quickly	2881
thousand	3534
pictures	3477
played	2870
helped	2388
lately	2459
names	2746
conversation	2543
department	3256
pardon	3297
captain	10622
books	3456
crime	3633
dollars	3998
knowing	2307
steal	2720
america	3974
above	2493
bottom	2546
wild	2923
smile	2958
apartment	4235
bringing	2282
partner	3836
track	2843
ok	25928
scene	3807
pants	2996
themselves	2343
empty	2409
comfortable	2408
major	5343
train	4848
letter	4213
continue	2527
evidence	4335
excellent	2688
hole	2969
ooh	4827
drinking	2685
marriage	3930
sing	4977
locked	2670
fuck	19307
dreams	3285
allowed	2286
apparently	2415
hat	3273
yep	2600
christ	4597
l	4841
leaves	2316
starts	2335
due	2275
excited	2479
final	2533
nuts	2729
lights	2877
dressed	2394
fish	4258
somehow	2310
checked	2382
asleep	2541
jail	3602
stole	2711
necessary	2345
cross	2807
risk	2501
fill	2241
size	2353
cops	4290
south	3288
arrest	3037
plane	4872
address	2666
closer	2329
heavy	2412
king	6592
dare	2826
lawyer	4055
apologize	2518
concerned	2261
press	3070
board	3272
deserve	2230
advice	2447
sight	2311
discuss	2329
space	3369
birthday	4958
bastard	3348
whoever	2203
following	2310
otherwise	2119
noticed	2131
crying	2709
allow	2263
support	2587
pressure	2709
wedding	5173
common	2275
afford	2266
jack	12831
emergency	2776
easier	2012
price	2722
beg	2600
p	3345
burn	2816
sold	2655
clock	2990
held	2165
responsible	2298
writing	2852
turning	2061
huge	2467
summer	4012
letting	1995
fired	3159
teeth	2440
choose	2451
radio	3936
note	2731
tree	3315
judge	4063
plus	2399
immediately	2446
north	3258
grand	3214
weekend	3118
shop	2731
became	2435
paying	2207
